company,cc,vertical,index,raw_sector,market_cap_usd,revenue_usd,employees,ticker
MBME Group,AE,,ADX_DFM,Technology,,,,MBME.AD
Commercial Bank of Dubai,AE,,ADX_DFM,Banks,7727000000,1485000000,1200,CBD.DU
Abu Dhabi Ports,AE,,ADX_DFM,Ports,6918000000,5972000000,2944,ADPORTS.AD
Pure Health Holding,AE,,ADX_DFM,Healthcare,6752000000,7627000000,,PUREHEALTH.AD
Fertiglobe,AE,,ADX_DFM,Chemicals,5956000000,3051000000,2700,FERTIGLB.AD
Presight AI,AE,,ADX_DFM,Technology,5654000000,861000000,789,PRESIGHT.AD
National Marine Dredging,AE,,ADX_DFM,Construction,5109000000,7965000000,3907,NMDC.AD
RAKBANK,AE,,ADX_DFM,Banks,4986000000,1387000000,3508,RAKBANK.AD
Americana Restaurants,AE,,ADX_DFM,Restaurants,4667000000,2588000000,37207,AMR.AD
Parkin,AE,,ADX_DFM,Transport,4594000000,387000000,,PARKIN.DU
TECOM Group,AE,,ADX_DFM,Real Estate,4632000000,798000000,1000,TECOM.DU
Dubai Investments,AE,,ADX_DFM,Investment,4239000000,1019000000,,DIC.DU
National Bank of Fujairah,AE,,ADX_DFM,Banks,3515000000,594000000,878,NBF.AD
Sharjah Islamic Bank,AE,,ADX_DFM,Banks,2556000000,670000000,,SIB.AD
Apex Investment,AE,,ADX_DFM,Investment,3097000000,240000000,150,APEX.AD
Dubai Financial Market,AE,,ADX_DFM,Financials,3049000000,241000000,164,DFM.DU
Erste Group Bank,AT,,ATX,Banks,48664800000,12960000000,55431,EBS.VI
Verbund,AT,,ATX,Utilities,22453200000,8672400000,4536,VER.VI
OMV,AT,,ATX,Energy,22442400000,25509600000,16056,OMV.VI
BAWAG Group,AT,,ATX,Banks,14472000000,2181600000,4042,BG.VI
Andritz,AT,,ATX,Industrials,7992000000,8564400000,30487,ANDR.VI
Wienerberger,AT,,ATX,Construction Materials,2408400000,4935600000,20220,WIE.VI
Voestalpine,AT,,ATX,Steel,8272800000,16264800000,41486,VOE.VI
Raiffeisen Bank International,AT,,ATX,Banks,19839600000,9698400000,42154,RBI.VI
Porr,AT,,ATX,Construction,1652400000,6814800000,20127,POS.VI
CA Immo,AT,,ATX,Real Estate,2192400000,303350400,241,CAI.VI
EVN,AT,,ATX,Utilities,5832000000,3358800000,7672,EVN.VI
AT&S,AT,,ATX,Electronics,7452000000,1933200000,12944,ATS.VI
Österreichische Post,AT,,ATX,Logistics,2376000000,3304800000,27868,POST.VI
Vienna Insurance Group,AT,,ATX,Insurance,9072000000,14893200000,32706,VIG.VI
Lenzing,AT,,ATX,Chemicals,1051034400,2808000000,7589,LNZ.VI
Uniqa Insurance Group,AT,,ATX,Insurance,5767200000,8305200000,15035,UQA.VI
Schoeller-Bleckmann Oilfield Equipment,AT,,ATX,Energy Services,554007600,491691600,1533,SBO.VI
Immofinanz,AT,,ATX,Real Estate,2311200000,822895200,534,IIA.VI
Strabag,AT,,ATX,Construction,10767600000,20217600000,88556,STR.VI
Do & Co,AT,,ATX,Catering,2430000000,2656800000,16395,DOC.VI
Aristocrat Leisure,AU,,ASX50,Gaming,24506666667,4200000000,7300,ALL.AX
JB Hi-Fi,AU,,ASX50,Retail,5693333333,7313333333,16000,JBH.AX
Wesfarmers,AU,,ASX50,Retail,66686666667,30466666667,120000,WES.AX
Amcor,AU,,ASX50,Packaging,19026666667,21553333333,77000,AMC.AX
BHP Group,AU,,ASX50,Mining,205360000000,53960000000,40648,BHP.AX
Evolution Mining,AU,,ASX50,Mining,15386666667,3406666667,1273,EVN.AX
Fortescue,AU,,ASX50,Mining,38500000000,16333333333,15745,FMG.AX
James Hardie,AU,,ASX50,Building Materials,13486666667,7050000000,7500,JHX.AX
Lynas Rare Earths,AU,,ASX50,Mining,10320000000,371006667,,LYC.AX
Newmont,AU,,ASX50,Mining,96533333333,22670000000,17500,NEM.AX
Northern Star Resources,AU,,ASX50,Mining,19686666667,4640000000,3383,NST.AX
Rio Tinto,AU,,ASX50,Mining,150520000000,57606666667,56890,RIO.AX
South32,AU,,ASX50,Mining,13906666667,5900000000,8892,S32.AX
ANZ Group,AU,,ASX50,Banks,72226666667,14500000000,40072,ANZ.AX
Commonwealth Bank,AU,,ASX50,Banks,191393333333,18980000000,51617,CBA.AX
Insurance Australia Group,AU,,ASX50,Insurance,13113333333,11573333333,15000,IAG.AX
Macquarie Group,AU,,ASX50,Financials,62386666667,13073333333,19124,MQG.AX
Medibank,AU,,ASX50,Insurance,9380000000,5706666667,3604,MPL.AX
National Australia Bank,AU,,ASX50,Banks,81860000000,13713333333,42471,NAB.AX
QBE Insurance,AU,,ASX50,Insurance,24393333333,18710000000,13196,QBE.AX
Suncorp,AU,,ASX50,Insurance,13406666667,10053333333,11500,SUN.AX
Westpac,AU,,ASX50,Banks,82733333333,14846666667,33305,WBC.AX
Block,AU,,ASX50,Payments,66510000000,24190000000,10205,XYZ.AX
Washington H. Soul Pattinson,AU,,ASX50,Investment,11540000000,940000000,56,SOL.AX
Brambles,AU,,ASX50,Industrials,16980000000,6840000000,12058,BXB.AX
Qantas Airways,AU,,ASX50,Airlines,10040000000,15880000000,20000,QAN.AX
Seven Group Holdings,AU,,ASX50,Industrials,11940000000,6973333333,11006,SVW.AX
Transurban,AU,,ASX50,Infrastructure,30413333333,2513333333,4100,TCL.AX
CAR Group,AU,,ASX50,Media,6286666667,820000000,2500,CAR.AX
News Corp,AU,,ASX50,Media,14733333333,8546666667,22300,NWS.AX
REA Group,AU,,ASX50,Media,13740000000,1266666667,3418,REA.AX
Telstra,AU,,ASX50,Telecom,36420000000,15420000000,29520,TLS.AX
Cochlear,AU,,ASX50,Healthcare,4886666667,1560000000,5500,COH.AX
CSL,AU,,ASX50,Healthcare,36953333333,15400000000,29904,CSL.AX
Fisher & Paykel Healthcare,AU,,ASX50,Healthcare,12926666667,1383000000,7396,FPH.AX
Pro Medicus,AU,,ASX50,Healthcare,11293333333,141986667,132,PME.AX
ResMed,AU,,ASX50,Healthcare,26513333333,8070000000,10600,RMD.AX
Sigma Healthcare,AU,,ASX50,Healthcare,22006666667,4000000000,,SIG.AX
Goodman Group,AU,,ASX50,Real Estate,40066666667,2066666667,1030,GMG.AX
Scentre Group,AU,,ASX50,Real Estate,13720000000,1793333333,2799,SCG.AX
Stockland,AU,,ASX50,Real Estate,6566666667,2346666667,1600,SGP.AX
Computershare,AU,,ASX50,IT Services,15380000000,3186666667,12891,CPU.AX
Xero,AU,,ASX50,Software,7333333333,1647000000,5114,XRO.AX
Santos,AU,,ASX50,Energy,16960000000,4933333333,4028,STO.AX
Woodside Energy,AU,,ASX50,Energy,40300000000,12980000000,4693,WDS.AX
Origin Energy,AU,,ASX50,Utilities,11960000000,11513333333,5000,ORG.AX
AB InBev,BE,,BEL20,Beverages,141470000000,52870000000,137000,ABI.BR
Ackermans & van Haaren,BE,,BEL20,Industrials,9525600000,6436800000,24931,ACKB.BR
Aedifica,BE,,BEL20,Real Estate,6350400000,422593200,127,AED.BR
Ageas,BE,,BEL20,Insurance,14839200000,10184400000,20799,AGS.BR
argenx,BE,,BEL20,Healthcare,47450000000,4650000000,1863,ARGX.BR
Aperam,BE,,BEL20,Materials,3704400000,6480000000,13000,APAM.AS
Azelis Group,BE,,BEL20,Chemicals Distribution,2754000000,4438800000,4001,AZE.BR
D'Ieteren,BE,,BEL20,Consumer Discretionary,10000800000,8672400000,13087,DIE.BR
Elia Group,BE,,BEL20,Utilities,16480800000,4795200000,4572,ELI.BR
GBL,BE,,BEL20,Financials,10378800000,6976800000,69,GBLB.BR
KBC Group,BE,,BEL20,Banks,52542000000,13078800000,39803,KBC.BR
Lotus Bakeries,BE,,BEL20,Food Products,9612000000,1468800000,3559,LOTB.BR
Melexis,BE,,BEL20,Semiconductors,3153600000,910936800,2000,MELE.BR
Montea,BE,,BEL20,Real Estate,1728000000,190317600,68,MONT.BR
Sofina,BE,,BEL20,Financials,8953200000,209919600,83,SOF.BR
Solvay,BE,,BEL20,Chemicals,2948400000,5022000000,8400,SOLB.BR
Syensqo,BE,,BEL20,Chemicals,7678800000,6328800000,13000,SYENS.BR
UCB,BE,,BEL20,Healthcare,50014800000,8359200000,9765,UCB.BR
Umicore,BE,,BEL20,Materials,5270400000,20941200000,10963,UMI.BR
WDP,BE,,BEL20,Real Estate,5691600000,590252400,145,WDP.BR
ALLOS,BR,,IBOVESPA,"Finanças, seguros e exploração de imóveis",2538888889,546296296,927,ALOS3
B3,BR,,IBOVESPA,"Finanças, seguros e exploração de imóveis",14753703704,1953703704,2889,B3SA3
Banco do Brasil,BR,,IBOVESPA,"Finanças, seguros e exploração de imóveis",22294444444,12812962963,84619,BBAS3
BB Seguridade,BR,,IBOVESPA,"Finanças, seguros e exploração de imóveis",15307407407,1940740741,222,BBSE3
Bradesco,BR,,IBOVESPA,"Finanças, seguros e exploração de imóveis",34733333333,16975925926,69653,BBDC4
Bradespar,BR,,IBOVESPA,"Finanças, seguros e exploração de imóveis",1159259259,2937037,,BRAP4
BTG Pactual,BR,,IBOVESPA,"Finanças, seguros e exploração de imóveis",50816666667,8266666667,8543,BPAC11
Caixa Seguridade,BR,,IBOVESPA,"Finanças, seguros e exploração de imóveis",12455555556,1083333333,141,CXSE3
Iguatemi,BR,,IBOVESPA,"Finanças, seguros e exploração de imóveis",1381481481,283333333,636,IGTI11
IRB(Re),BR,,IBOVESPA,"Finanças, seguros e exploração de imóveis",853703704,959259259,328,IRBR3
Itaúsa,BR,,IBOVESPA,"Finanças, seguros e exploração de imóveis",28685185185,1550000000,126000,ITSA4
Itaú Unibanco,BR,,IBOVESPA,"Finanças, seguros e exploração de imóveis",90262962963,25590740741,93554,ITUB4
Santander Brasil,BR,,IBOVESPA,"Finanças, seguros e exploração de imóveis",18683333333,8466666667,49107,SANB11
Multiplan,BR,,IBOVESPA,"Finanças, seguros e exploração de imóveis",2631481481,562962963,80513,MULT3
Porto,BR,,IBOVESPA,"Finanças, seguros e exploração de imóveis",6575925926,8207407407,13491,PSSA3
Brava Energia,BR,,IBOVESPA,Petróleo e gás,1751851852,2200000000,531,BRAV3
Cosan,BR,,IBOVESPA,Petróleo e gás,2844444444,7366666667,29142,CSAN3
Petrobras,BR,,IBOVESPA,Petróleo e gás,108961111111,92238888889,43199,PETR4
PRIO,BR,,IBOVESPA,Petróleo e gás,8937037037,3272222222,82,PRIO3
PetroRecôncavo,BR,,IBOVESPA,Petróleo e gás,585185185,551851852,1748,RECV3
Raízen,BR,,IBOVESPA,Petróleo e gás,3616666667,44972222222,40000,RAIZ4
Ultra,BR,,IBOVESPA,Petróleo e gás,6498148148,26998148148,11481,UGPA3
Vibra Energia,BR,,IBOVESPA,Petróleo e gás,7725925926,35596296296,3785,VBBR3
Auren,BR,,IBOVESPA,"Utilidade pública, energia e saneamento",2233333333,2462962963,,AURE3
Axia Energia,BR,,IBOVESPA,"Utilidade pública, energia e saneamento",27087037037,8070370370,7168,AXIA3
Cemig,BR,,IBOVESPA,"Utilidade pública, energia e saneamento",6892592593,8031481481,5320,CMIG4
Copel,BR,,IBOVESPA,"Utilidade pública, energia e saneamento",4870370370,4111111111,4396,CPLE6
Copasa,BR,,IBOVESPA,"Utilidade pública, energia e saneamento",4494444444,1555555556,9836,CSMG3
CPFL Energia,BR,,IBOVESPA,"Utilidade pública, energia e saneamento",9966666667,8342592593,16040,CPFE3
Energisa,BR,,IBOVESPA,"Utilidade pública, energia e saneamento",3559259259,6672222222,18000,ENGI11
Engie Brasil,BR,,IBOVESPA,"Utilidade pública, energia e saneamento",7948148148,2455555556,1312,EGIE3
Eneva,BR,,IBOVESPA,"Utilidade pública, energia e saneamento",9212962963,3457407407,2054,ENEV3
Equatorial,BR,,IBOVESPA,"Utilidade pública, energia e saneamento",9161111111,9896296296,11571,EQTL3
ISA Energia,BR,,IBOVESPA,"Utilidade pública, energia e saneamento",3646296296,1761111111,1626,ISAE4
Sabesp,BR,,IBOVESPA,"Utilidade pública, energia e saneamento",19020370370,7338888889,8927,SBSP3
Taesa,BR,,IBOVESPA,"Utilidade pública, energia e saneamento",2653703704,866666667,854,TAEE11
Embraer,BR,,IBOVESPA,Bens industriais e transporte,11044444444,7974074074,21122,EMBJ3
Localiza,BR,,IBOVESPA,Bens industriais e transporte,7531481481,8135185185,23558,RENT3
Marcopolo,BR,,IBOVESPA,Bens industriais e transporte,1179629630,1674074074,15109,POMO4
Motiva,BR,,IBOVESPA,Bens industriais e transporte,5477777778,3577777778,16000,MOTV3
Rumo Logística,BR,,IBOVESPA,Bens industriais e transporte,4687037037,2622222222,8255,RAIL3
Vamos,BR,,IBOVESPA,Bens industriais e transporte,637037037,1118518519,2291,VAMO3
WEG,BR,,IBOVESPA,Bens industriais e transporte,36316666667,7431481481,49258,WEGE3
Ambev,BR,,IBOVESPA,"Consumo não cíclico, alimentos, comércio/distribuição e agropecuária",46346296296,16335185185,39000,ABEV3
Assaí,BR,,IBOVESPA,"Consumo não cíclico, alimentos, comércio/distribuição e agropecuária",2087037037,14331481481,90000,ASAI3
Grupo Pão de Açúcar,BR,,IBOVESPA,"Consumo não cíclico, alimentos, comércio/distribuição e agropecuária",250000000,3466666667,110000,PCAR3
MBRF,BR,,IBOVESPA,"Consumo não cíclico, alimentos, comércio/distribuição e agropecuária",4159259259,30359259259,130000,MBRF3
Minerva Foods,BR,,IBOVESPA,"Consumo não cíclico, alimentos, comércio/distribuição e agropecuária",659259259,10562962963,30000,BEEF3
Natura,BR,,IBOVESPA,"Consumo não cíclico, alimentos, comércio/distribuição e agropecuária",2209259259,4024074074,35000,NATU3
SLC Agrícola,BR,,IBOVESPA,"Consumo não cíclico, alimentos, comércio/distribuição e agropecuária",1285185185,1572222222,6729,SLCE3
Azzas 2154,BR,,IBOVESPA,Consumo cíclico e construção civil,666666667,2148148148,9480,AZZA3
C&A,BR,,IBOVESPA,Consumo cíclico e construção civil,538888889,1479629630,14000,CEAB3
Cogna Educação,BR,,IBOVESPA,Consumo cíclico e construção civil,801851852,1396296296,25000,COGN3
Cury,BR,,IBOVESPA,Consumo cíclico e construção civil,1722222222,1074074074,4485,CURY3
Cyrela,BR,,IBOVESPA,Consumo cíclico e construção civil,1701851852,1762962963,984,CYRE3
Lojas Renner,BR,,IBOVESPA,Consumo cíclico e construção civil,2448148148,2951851852,26058,LREN3
Magazine Luiza,BR,,IBOVESPA,Consumo cíclico e construção civil,703703704,7133333333,35000,MGLU3
MRV,BR,,IBOVESPA,Consumo cíclico e construção civil,477777778,2111111111,30000,MRVE3
Smart Fit,BR,,IBOVESPA,Consumo cíclico e construção civil,2351851852,1420370370,18000,SMFT3
Vivara,BR,,IBOVESPA,Consumo cíclico e construção civil,938888889,572222222,5602,VIVA3
Yduqs,BR,,IBOVESPA,Consumo cíclico e construção civil,375925926,1025925926,17085,YDUQ3
Braskem,BR,,IBOVESPA,Materiais básicos,816666667,12361111111,8233,BRKM5
CSN,BR,,IBOVESPA,Materiais básicos,1320370370,8238888889,29000,CSNA3
CSN Mineração,BR,,IBOVESPA,Materiais básicos,5874074074,3300000000,7796,CMIN3
Gerdau,BR,,IBOVESPA,Materiais básicos,8275925926,12814814815,30000,GGBR4
Metalúrgica Gerdau,BR,,IBOVESPA,Materiais básicos,2494444444,12814814815,30000,GOAU4
Klabin,BR,,IBOVESPA,Materiais básicos,4079629630,3848148148,18153,KLBN11
Suzano Papel e Celulose,BR,,IBOVESPA,Materiais básicos,9764814815,9172222222,35000,SUZB3
Usiminas,BR,,IBOVESPA,Materiais básicos,1855555556,4681481481,13175,USIM5
Vale,BR,,IBOVESPA,Materiais básicos,59187037037,39788888889,65805,VALE3
Telefônica Brasil,BR,,IBOVESPA,Telefonia,20937037037,11233333333,35010,VIVT3
TIM Brasil,BR,,IBOVESPA,Telefonia,9785185185,5007407407,8873,TIMS3
Fleury,BR,,IBOVESPA,Saúde,1675925926,1574074074,29000,FLRY3
Hapvida,BR,,IBOVESPA,Saúde,1001851852,5898148148,68000,HAPV3
Hypera Pharma,BR,,IBOVESPA,Saúde,2644444444,1600000000,10564,HYPE3
RD Saúde,BR,,IBOVESPA,Saúde,5922222222,8435185185,75190,RADL3
Rede D'Or São Luiz,BR,,IBOVESPA,Saúde,14046296296,10572222222,31400,RDOR3
Totvs,BR,,IBOVESPA,Tecnologia da informação,3101851852,1125925926,,TOTS3
Agnico Eagle Mines,CA,,TSX60,Mining,76154411765,13897058824,10155,AEM
Alimentation Couche-Tard,CA,,TSX60,Retail,60227941176,76970588235,145000,ATD
Bank of Montreal,CA,,TSX60,Banks,129919117647,25500000000,53234,BMO
Bank of Nova Scotia,CA,,TSX60,Banks,111213235294,25161764706,80415,BNS
Barrick Mining,CA,,TSX60,Mining,65022058824,19544117647,17500,ABX
BCE,CA,,TSX60,Telecom,20705882353,18169117647,38683,BCE
Brookfield Asset Management,CA,,TSX60,Financials,76742647059,5205882353,5800,BAM
Brookfield Corporation,CA,,TSX60,Financials,98919117647,81198529412,250000,BN
Brookfield Infrastructure Partners,CA,,TSX60,Utilities,19073529412,24639705882,6000,BIP.UN
CAE,CA,,TSX60,Industrials,8080882353,3610294118,13000,CAE
Cameco,CA,,TSX60,Energy,40772058824,2602941176,730,CCO
Canadian Imperial Bank of Commerce,CA,,TSX60,Banks,111411764706,21250000000,50648,CM
Canadian National Railway,CA,,TSX60,Industrials,80514705882,12705882353,23541,CNR
Canadian Natural Resources,CA,,TSX60,Energy,98588235294,28404411765,10750,CNQ
Canadian Pacific Kansas City,CA,,TSX60,Industrials,83904411765,11014705882,19539,CP
Canadian Tire,CA,,TSX60,Retail,7654411765,12080882353,28927,CTC.A
CCL Industries,CA,,TSX60,Industrials,11419117647,5676470588,26000,CCL.B
Celestica,CA,,TSX60,Electronics,39992647059,14154411765,23803,CLS
Cenovus Energy,CA,,TSX60,Energy,56227941176,35845588235,7211,CVE
CGI,CA,,TSX60,IT Services,14227941176,12014705882,94000,GIB.A
Constellation Software,CA,,TSX60,Software,40558823529,12470588235,45000,CSU
Dollarama,CA,,TSX60,Retail,36691176471,5573529412,20020,DOL
Emera,CA,,TSX60,Utilities,17205882353,6551470588,7812,EMA
Enbridge,CA,,TSX60,Energy,127316176471,50772058824,14800,ENB
Fairfax Financial Holdings,CA,,TSX60,Insurance,38257352941,39595588235,62500,FFH
First Quantum Minerals,CA,,TSX60,Mining,23867647059,5595588235,15661,FM
FirstService,CA,,TSX60,Real Estate,6742647059,5713235294,31000,FSV
Fortis,CA,,TSX60,Utilities,30750000000,9000000000,9900,FTS
Franco-Nevada,CA,,TSX60,Mining,42926470588,2139705882,38,FNV
George Weston,CA,,TSX60,Consumer Staples,28669117647,47867647059,220000,WN
Gildan Activewear,CA,,TSX60,Apparel,10220588235,4154411765,75000,GIL
Hydro One,CA,,TSX60,Utilities,26286764706,6823529412,7151,H
Imperial Oil,CA,,TSX60,Energy,62955882353,34463235294,5000,IMO
Intact Financial,CA,,TSX60,Insurance,37529411765,19375000000,32000,IFC
Kinross Gold,CA,,TSX60,Mining,29985294118,8169117647,8456,K
Loblaw Companies,CA,,TSX60,Retail,54882352941,47411764706,220000,L
Magna International,CA,,TSX60,Auto Parts,19036764706,43441176471,156000,MG
Manulife Financial,CA,,TSX60,Insurance,74448529412,23551470588,37000,MFC
Metro,CA,,TSX60,Retail,14227941176,16308823529,99000,MRU
National Bank of Canada,CA,,TSX60,Banks,64463235294,10308823529,33767,NA
Nutrien,CA,,TSX60,Chemicals,33985294118,27588235294,25500,NTR
Open Text,CA,,TSX60,Software,5580882353,5345588235,20500,OTEX
Pembina Pipeline,CA,,TSX60,Energy,30625000000,5588235294,2974,PPL
Power Corporation of Canada,CA,,TSX60,Financials,42485294118,29014705882,30000,POW
Restaurant Brands International,CA,,TSX60,Restaurants,26301470588,9838235294,53500,QSR
Rogers Communications,CA,,TSX60,Telecom,18551470588,16632352941,25000,RCI.B
Royal Bank of Canada,CA,,TSX60,Banks,304463235294,48323529412,97795,RY
Saputo,CA,,TSX60,Consumer Staples,12080882353,12904411765,19200,SAP
Shopify,CA,,TSX60,Software,159551470588,12691176471,7600,SHOP
Sun Life Financial,CA,,TSX60,Insurance,47007352941,25661764706,32151,SLF
Suncor Energy,CA,,TSX60,Energy,79198529412,37551470588,15424,SU
TC Energy,CA,,TSX60,Energy,75338235294,11382352941,6574,TRP
Teck Resources,CA,,TSX60,Mining,29044117647,10286764706,7429,TECK.B
Telus,CA,,TSX60,Telecom,16639705882,14941176471,111500,T
Thomson Reuters,CA,,TSX60,Media,39448529412,7867647059,27100,TRI
Toronto-Dominion Bank,CA,,TSX60,Banks,207382352941,43514705882,104843,TD
Tourmaline Oil,CA,,TSX60,Energy,18492647059,3411764706,544,TOU
Waste Connections,CA,,TSX60,Industrials,43845588235,10198529412,24214,WCN
Wheaton Precious Metals,CA,,TSX60,Mining,52360294118,2816176471,44,WPM
WSP Global,CA,,TSX60,Industrials,17360294118,13566176471,82500,WSP
Novartis International AG,CH,,SMI,Health care,269211200000,56670000000,75267,NOVN.SW
Roche Holding AG,CH,,SMI,Health care,299517800000,71144800000,103249,ROG.SW
Nestlé SA,CH,,SMI,Retail staples,250464500000,101575700000,271000,NESN.SW
ABB Ltd,CH,,SMI,Industrials,165499800000,33220000000,112700,ABBN.SW
UBS Group AG,CH,,SMI,Financials,133110000000,49600000000,101594,UBSG.SW
Compagnie Financière Richemont SA,CH,,SMI,Retail discretionary,129904800000,25334600000,39601,CFR.SW
Zurich Insurance Group AG,CH,,SMI,Financials,104378100000,73080000000,63000,ZURN.SW
Holcim Limited,CH,,SMI,Materials,46510800000,17763600000,46055,HOLN.SW
Swiss Reinsurance Company Ltd,CH,,SMI,Financials,43697100000,42600000000,15238,SREN.SW
Lonza Group AG,CH,,SMI,Materials,42329800000,7763100000,20000,LONN.SW
Swisscom AG,CH,,SMI,Communication services,36589400000,17006500000,23073,SCMN.SW
Givaudan SA,CH,,SMI,Materials,35278600000,8373300000,17580,GIVN.SW
Alcon Inc,CH,,SMI,Health care,30250100000,8530000000,25000,ALC.SW
Sika AG,CH,,SMI,Materials,28577700000,12656000000,30629,SIKA.SW
Amrize AG,CH,,SMI,Materials,25221600000,9550000000,19000,AMRZ.SW
Swiss Life Holding AG,CH,,SMI,Financials,29945000000,13232300000,12313,SLHN.SW
Kuehne + Nagel,CH,,SMI,Industrials,27911000000,27662400000,80141,KNIN.SW
Geberit AG,CH,,SMI,Industrials,19289100000,3570800000,9925,GEBN.SW
Partners Group Holding AG,CH,,SMI,Financials,19582900000,2881500000,2027,PGHN.SW
Logitech International SA,CH,,SMI,Information technology,13842500000,4840000000,7300,LOGN.SW
Kweichow Moutai,CN,,CSI300,Consumer Staples,225000000000,23909722222,34992,600519
Ping An Insurance,CN,,CSI300,Financials,130355555556,132348611111,258806,601318
CATL (Contemporary Amperex Technology),CN,,CSI300,Industrials,251388888889,65018055556,185839,300750
China Merchants Bank,CN,,CSI300,Financials,138204166667,41501388889,121585,600036
Midea Group,CN,,CSI300,Consumer Discretionary,88670833333,63848611111,198570,000333
Wuliangye Yibin,CN,,CSI300,Consumer Staples,40347222222,6427777778,25216,000858
China Yangtze Power,CN,,CSI300,Utilities,98858333333,12130555556,8482,600900
Industrial Bank,CN,,CSI300,Financials,53670833333,21390277778,68963,601166
Zijin Mining Group,CN,,CSI300,Materials,117844444444,51201388889,66708,601899
CITIC Securities,CN,,CSI300,Financials,57473611111,11463888889,26823,600030
Jiangsu Hengrui Medicine,CN,,CSI300,Health Care,50301388889,4522222222,20602,600276
Industrial and Commercial Bank of China,CN,,CSI300,Financials,356944444444,93526388889,409758,601398
Inner Mongolia Yili Industrial Group,CN,,CSI300,Consumer Staples,23922222222,16352777778,62666,600887
East Money Information,CN,,CSI300,Financials,44565277778,2430555556,6403,300059
Gree Electric Appliances,CN,,CSI300,Consumer Discretionary,31470833333,23876388889,71966,000651
Mindray Bio-Medical Electronics,CN,,CSI300,Health Care,25330555556,4638888889,21288,300760
BYD,CN,,CSI300,Consumer Discretionary,107516666667,108865277778,869600,002594
Bank of Communications,CN,,CSI300,Financials,82076388889,29501388889,97932,601328
Wanhua Chemical Group,CN,,CSI300,Materials,32822222222,29752777778,30772,600309
BOE Technology Group,CN,,CSI300,Information Technology,30901388889,28470833333,109895,000725
Bank of Jiangsu,CN,,CSI300,Financials,29412500000,9395833333,21889,600919
Luxshare Precision Industry,CN,,CSI300,Information Technology,65111111111,49229166667,416197,002475
Shenzhen Inovance Technology,CN,,CSI300,Industrials,23444444444,6426388889,27292,300124
Agricultural Bank of China,CN,,CSI300,Financials,309722222222,83456944444,457835,601288
Hangzhou Hikvision Digital Technology,CN,,CSI300,Information Technology,45531944444,13151388889,57202,002415
Luzhou Lao Jiao,CN,,CSI300,Consumer Staples,17402777778,3388888889,3912,000568
Longi Green Energy Technology,CN,,CSI300,Information Technology,13436111111,9429166667,32775,601012
China Shenhua Energy,CN,,CSI300,Energy,133172222222,41073611111,91392,601088
Beijing-Shanghai High Speed Railway,CN,,CSI300,Industrials,34248611111,6027777778,89,601816
China Petroleum & Chemical Corporation (Sinopec),CN,,CSI300,Energy,82277777778,381944444444,351104,600028
Shanxi Xinghuacun Fen Wine Factory,CN,,CSI300,Consumer Staples,21180555556,5155555556,14026,600809
China State Construction Engineering,CN,,CSI300,Industrials,26973611111,283333333333,370272,601668
WuXi AppTec,CN,,CSI300,Health Care,52611111111,6416666667,33834,603259
