company,cc,market_cap_usd,revenue_usd,employees,ticker
Jiangsu Yanghe Brewery Joint-Stock,CN,8420833333,2268055556,22392,002304
Baoshan Iron and Steel,CN,17725000000,44679166667,46135,600019
United Imaging Healthcare,CN,12966666667,1976388889,8703,688271
Dawning Information Industry (Sugon),CN,19877777778,2163888889,6025,603019
Anhui Conch Cement,CN,12880555556,11186111111,48286,600585
Zhejiang Sanhua Intelligent Controls,CN,20722222222,4322222222,19090,002050
Tianqi Lithium Industries,CN,10477777778,1790277778,3451,002466
Postal Savings Bank of China,CN,82837500000,44822222222,182347,601658
CNOOC Limited,CN,143055555556,56590277778,22045,600938
HSBC Holdings plc,CN,355128205128,64101282051,208844,0005
Hong Kong Exchanges and Clearing,CN,64920512821,3871794872,2497,0388
China Construction Bank,CN,301282051282,89544871795,378344,0939
AIA Group Limited,CN,101746153846,26158974359,23000,1299
BOC Hong Kong Holdings,CN,65551282051,8811538462,15585,2388
China Life,CN,156410256410,49851282051,97505,2628
Bank of China Ltd,CN,265384615385,82623076923,313746,3988
CLP Holdings Limited,CN,25102564103,11284615385,8539,0002
Hong Kong and China Gas Company,CN,16578205128,6965384615,54968,0003
Power Assets Holdings,CN,16079487179,98846154,16,0006
China Resources Power,CN,12816666667,13078205128,21858,0836
Cheung Kong Infrastructure Holdings,CN,20043589744,612820513,2253,1038
ENN Energy,CN,6150000000,15965384615,33742,2688
Henderson Land Development,CN,17205128205,3300000000,10078,0012
Sun Hung Kai Properties,CN,45514102564,11857692308,38000,0016
Hang Lung Properties,CN,5029487179,1275641026,4526,0101
China Overseas Land & Investment,CN,19026923077,23980769231,3130,0688
Link REIT,CN,13193589744,1811538462,1441,0823
Longfor Properties,CN,6178205128,13883333333,31653,0960
China Resources Land,CN,31083333333,40152564103,59077,1109
CK Asset Holdings,CN,21680769231,7428205128,54000,1113
China Resources Mixc Lifestyle,CN,11483333333,2570512821,37704,1209
Wharf Real Estate Investment Company,CN,9933333333,1643589744,2900,1997
CK Hutchison Holdings,CN,35771794872,35902564103,300000,0001
MTR Corporation,CN,26080769231,7111538462,29866,0066
Geely Auto,CN,24792307692,51924358974,73000,0175
Galaxy Entertainment Group,CN,17903846154,6319230769,21200,0027
Alibaba Health,CN,7046153846,4992307692,1394,0241
CITIC Limited,CN,44978205128,134615384615,193011,0267
BYD Electronics,CN,6788461538,25605128205,165000,0285
WH Group,CN,13734615385,27966666667,106000,0288
China Resources Beer,CN,9998717949,5419230769,24099,0291
Orient Overseas (International),CN,12462820513,9701282051,11665,0316
Tingyi,CN,8311538462,11280769231,60720,0322
Sinopec Corp,CN,87930769231,401282051282,351104,0386
Techtronic Industries,CN,30930769231,15226923077,48318,0669
Tencent Holdings Limited,CN,512820512821,111947435897,114848,0700
China Unicom,CN,26008974359,57079487179,237251,0762
PetroChina Company Limited,CN,288461538462,415384615385,367173,0857
Xinyi Glass,CN,5121794872,2971794872,16057,0868
Zhongsheng Group,CN,1305128205,23455128205,30287,0881
Xinyi Solar,CN,2579487179,2975641026,7712,0968
Semiconductor Manufacturing International Corporation,CN,109387179487,,19952,0981
Lenovo,CN,39153846154,83501282051,73500,0992
Kuaishou,CN,23685897436,20967948718,24202,1024
Hengan International Group,CN,3498717949,3291025641,23000,1044
CSPC Pharmaceutical Group,CN,12267948718,3710256410,19700,1093
Sinopharm Group,CN,6773076923,83687179487,94910,1099
Sino Biopharm,CN,12212820513,4542307692,21435,1177
BYD Company,CN,114903846154,114224358974,869600,1211
China Hongqiao Group,CN,30138461538,23162820513,51234,1378
Xiaomi,CN,89556410256,64867948718,55994,1810
Budweiser Brewing Company APAC,CN,11150000000,5825641026,21000,1876
Sands China,CN,13696153846,7426923077,27875,1928
Chow Tai Fook,CN,15821794872,12102564103,24700,1929
Li Auto,CN,12028205128,15938461538,30728,2015
Anta Sports,CN,27214102564,11444871795,69100,2020
ZTO Express,CN,18379487179,7503846154,23399,2057
WuXi Biologics,CN,20644871795,3108974359,13252,2269
Shenzhou International,CN,8146153846,4421794872,108680,2313
Mengniu Dairy,CN,9092307692,11733333333,38301,2319
Li-Ning,CN,4887179487,4223076923,5152,2331
Sunny Optical,CN,8193589744,6167948718,34393,2382
JD Logistics,CN,11114102564,33628205128,682705,2618
Zijin Mining,CN,125941025641,53721794872,66708,2899
Meituan,CN,69093589744,53873076923,111298,3690
Hansoh Pharmaceutical Group,CN,25324358974,2143589744,9347,3692
JD Health,CN,15334615385,10478205128,5263,6618
Haidilao,CN,8146153846,6166666667,125620,6862
Haier (Haier Smart Home),CN,28383333333,43267948718,134995,6690
JD.com,CN,40928205128,192307692308,900000,9618
Nongfu Spring,CN,61855128205,7497435897,28000,9633
Baidu,CN,36773076923,18755128205,33500,9888
Trip.com Group,CN,26951282051,9441025641,43574,9961
Alibaba Group,CN,266666666667,148717948718,131462,9988
Pop Mart,CN,27237179487,5296153846,10434,9992
NetEase,CN,78389743590,16669230769,25382,9999
HSBC Holdings,HK,355128205128,64101282051,208844,0005
Hong Kong Exchanges and Clearing,HK,64920512821,3871794872,2497,0388
China Construction Bank,HK,301282051282,89544871795,378344,0939
AIA Group,HK,101746153846,26158974359,23000,1299
Industrial and Commercial Bank of China,HK,387179487179,98130769231,409758,1398
Ping An Insurance,HK,141025641026,138461538462,258806,2318
BOC Hong Kong,HK,65551282051,8811538462,15585,2388
China Life Insurance,HK,156410256410,49851282051,97505,2628
China Merchants Bank,HK,146153846154,43544871795,121585,3968
Bank of China,HK,265384615385,82623076923,313746,3988
CLP Holdings,HK,25102564103,11284615385,8539,0002
Hong Kong and China Gas,HK,16578205128,6965384615,54968,0003
Power Assets Holdings,HK,16079487179,98846154,16,0006
China Resources Power,HK,12816666667,13078205128,21858,0836
Cheung Kong Infrastructure Holdings,HK,20043589744,612820513,2253,1038
ENN Energy,HK,6150000000,15965384615,33742,2688
Henderson Land Development,HK,17205128205,3300000000,10078,0012
Sun Hung Kai Properties,HK,45514102564,11857692308,38000,0016
Hang Lung Properties,HK,5029487179,1275641026,4526,0101
China Overseas Land & Investment,HK,19026923077,23980769231,3130,0688
Link REIT,HK,13193589744,1811538462,1441,0823
Longfor Properties,HK,6178205128,13883333333,31653,0960
China Resources Land,HK,31083333333,40152564103,59077,1109
CK Asset Holdings,HK,21680769231,7428205128,54000,1113
China Resources Mixc Lifestyle,HK,11483333333,2570512821,37704,1209
Wharf Real Estate Investment,HK,9933333333,1643589744,2900,1997
CK Hutchison Holdings,HK,35771794872,35902564103,300000,0001
Galaxy Entertainment Group,HK,17903846154,6319230769,21200,0027
MTR Corporation,HK,26080769231,7111538462,29866,0066
Geely Auto,HK,24792307692,51924358974,73000,0175
Alibaba Health,HK,7046153846,4992307692,1394,0241
CITIC Limited,HK,44978205128,134615384615,193011,0267
BYD Electronics,HK,6788461538,25605128205,165000,0285
WH Group,HK,13734615385,27966666667,106000,0288
China Resources Beer,HK,9998717949,5419230769,24099,0291
Midea Group,HK,94793589744,66992307692,198570,0300
Orient Overseas (International),HK,12462820513,9701282051,11665,0316
Tingyi,HK,8311538462,11280769231,60720,0322
Sinopec Corp,HK,87930769231,401282051282,351104,0386
Techtronic Industries,HK,30930769231,15226923077,48318,0669
Tencent Holdings,HK,512820512821,111947435897,114848,0700
China Unicom,HK,26008974359,57079487179,237251,0762
PetroChina,HK,288461538462,415384615385,367173,0857
Xinyi Glass,HK,5121794872,2971794872,16057,0868
Zhongsheng Group,HK,1305128205,23455128205,30287,0881
CNOOC,HK,152564102564,59375641026,22045,0883
China Mobile,HK,229487179487,153846153846,461345,0941
Xinyi Solar,HK,2579487179,2975641026,7712,0968
Semiconductor Manufacturing International,HK,109387179487,,19952,0981
Lenovo,HK,39153846154,83501282051,73500,0992
Kuaishou,HK,23685897436,20967948718,24202,1024
Hengan International,HK,3498717949,3291025641,23000,1044
China Shenhua Energy,HK,142307692308,43094871795,91392,1088
CSPC Pharmaceutical Group,HK,12267948718,3710256410,19700,1093
Sinopharm Group,HK,6773076923,83687179487,94910,1099
Sino Biopharmaceutical,HK,12212820513,4542307692,21435,1177
BYD Company,HK,114903846154,114224358974,869600,1211
China Hongqiao Group,HK,30138461538,23162820513,51234,1378
Xiaomi,HK,89556410256,64867948718,55994,1810
Budweiser Brewing Company APAC,HK,11150000000,5825641026,21000,1876
Sands China,HK,13696153846,7426923077,27875,1928
Chow Tai Fook Jewellery,HK,15821794872,12102564103,24700,1929
Li Auto,HK,12028205128,15938461538,30728,2015
Anta Sports,HK,27214102564,11444871795,69100,2020
ZTO Express,HK,18379487179,7503846154,23399,2057
WuXi Biologics,HK,20644871795,3108974359,13252,2269
Shenzhou International,HK,8146153846,4421794872,108680,2313
Mengniu Dairy,HK,9092307692,11733333333,38301,2319
Li-Ning,HK,4887179487,4223076923,5152,2331
WuXi AppTec,HK,56225641026,6733333333,33834,2359
Sunny Optical Technology,HK,8193589744,6167948718,34393,2382
JD Logistics,HK,11114102564,33628205128,682705,2618
Zijin Mining,HK,125941025641,53721794872,66708,2899
Meituan,HK,69093589744,53873076923,111298,3690
Hansoh Pharmaceutical Group,HK,25324358974,2143589744,9347,3692
JD Health,HK,15334615385,10478205128,5263,6618
Haier Smart Home,HK,28383333333,43267948718,134995,6690
Haidilao,HK,8146153846,6166666667,125620,6862
JD.com,HK,40928205128,192307692308,900000,9618
Nongfu Spring,HK,61855128205,7497435897,28000,9633
Baidu,HK,36773076923,18755128205,33500,9888
Trip.com Group,HK,26951282051,9441025641,43574,9961
Alibaba Group,HK,266666666667,148717948718,131462,9988
Pop Mart,HK,27237179487,5296153846,10434,9992
NetEase,HK,78389743590,16669230769,25382,9999
Taiwan Semiconductor Manufacturing,TW,1949062500000,138750000000,76907,2330
MediaTek,TW,193125000000,18493750000,17449,2454
Delta Electronics,TW,151250000000,18603750000,85684,2308
Hon Hai Precision,TW,112812500000,268125000000,826608,2317
ASE Technology Holding,TW,89062500000,20965625000,107950,3711
United Microelectronics,TW,54375000000,7522812500,19577,2303
Elite Material,TW,57187500000,3301562500,572,2383
Unimicron Technology,TW,45937500000,4331250000,31483,3037
CTBC Financial Holding,TW,39062500000,18227812500,26419,2891
Accton Technology,TW,40625000000,8615312500,759,2345
Yageo,TW,45312500000,4374687500,39000,2327
Fubon Financial Holding,TW,56250000000,32812500000,42363,2881
Nan Ya Plastics,TW,48750000000,8217500000,32271,1303
Cathay Financial Holding,TW,44375000000,37187500000,51797,2882
Taishin Financial Holding,TW,27155625000,4052187500,19298,2887
Chroma ATE,TW,28134062500,1040937500,1639,2360
Asia Vital Components,TW,29903750000,5166875000,433,3017
Yuanta Financial Holding,TW,26370625000,4718437500,15791,2885
Quanta Computer,TW,40625000000,76562500000,54279,2382
Mega Financial Holding,TW,22342812500,2465312500,10091,2886
Wiwynn,TW,31875000000,33125000000,415,6669
E.Sun Financial Holding,TW,18018750000,2763437500,11049,2884
Chunghwa Telecom,TW,33437500000,7509062500,19912,2412
Winbond Electronics,TW,22640625000,3364687500,4899,2344
SinoPac Financial Holdings,TW,17646250000,2448750000,15448,2890
ASUSTeK Computer,TW,17826250000,24986875000,,2357
Nanya Technology,TW,41250000000,5640937500,1237,2408
Wistron,TW,17243750000,84062500000,8212,3231
KGI Financial Holding,TW,16152500000,11476250000,13785,2883
King Slide Works,TW,24196562500,593750000,,2059
Lite-On Technology,TW,15351875000,5408750000,38676,2301
Zhen Ding Technology,TW,16922187500,5724062500,24295,4958
First Financial Holding,TW,15345625000,2292500000,10299,2892
Largan Precision,TW,17161562500,1940937500,7719,3008
Hua Nan Financial Holdings,TW,17939687500,2255625000,11317,2880
Uni-President Enterprises,TW,13672500000,21206875000,88354,1216
BizLink Holding,TW,13944062500,2374687500,,3665
Global Unichip,TW,18342812500,1205312500,805,3443
Gold Circuit Electronics,TW,14861250000,2101562500,8831,2368
King Yuan Electronics,TW,10928437500,1181562500,4020,2449
Alchip Technologies,TW,8968750000,769687500,,3661
Nan Ya Printed Circuit Board,TW,24836875000,1340312500,,8046
Taiwan Cooperative Financial Holding,TW,12544687500,2217812500,9628,5880
Advantech,TW,16171250000,2310000000,2526,2395
Evergreen Marine,TW,13768437500,11112812500,200,2603
Far EasTone Telecommunications,TW,11553750000,3481875000,5941,4904
Taiwan Mobile,TW,10607187500,6261875000,8268,3045
Formosa Petrochemical,TW,27744375000,19215000000,6189,6505
Jentech Precision,TW,17011875000,650937500,655,3653
Hon Precision,TW,2519687500,4729375000,,2354
China Everbright Bank,CN,24972222222,12237500000,48483,601818
China Mobile Ltd,CN,229487179487,153846153846,461345,0941
