company,cc,vertical,index,raw_sector
Sunny Optical,CN,,HSI,Commerce & Industry
JD Logistics,CN,,HSI,Commerce & Industry
Zijin Mining,CN,,HSI,Commerce & Industry
Meituan,CN,,HSI,Commerce & Industry
Hansoh Pharmaceutical Group,CN,,HSI,Commerce & Industry
JD Health,CN,,HSI,Commerce & Industry
Haier (Haier Smart Home),CN,,HSI,Commerce & Industry
Haidilao,CN,,HSI,Commerce & Industry
JD.com,CN,,HSI,Commerce & Industry
Nongfu Spring,CN,,HSI,Commerce & Industry
Baidu,CN,,HSI,Commerce & Industry
Trip.com Group,CN,,HSI,Commerce & Industry
Alibaba Group,CN,,HSI,Commerce & Industry
Pop Mart,CN,,HSI,Commerce & Industry
NetEase,CN,,HSI,Commerce & Industry
HSBC Holdings,HK,,HSI,Banks
Hong Kong Exchanges and Clearing,HK,,HSI,Financials
China Construction Bank,HK,,HSI,Banks
AIA Group,HK,,HSI,Insurance
Industrial and Commercial Bank of China,HK,,HSI,Banks
Ping An Insurance,HK,,HSI,Insurance
BOC Hong Kong,HK,,HSI,Banks
China Life Insurance,HK,,HSI,Insurance
China Merchants Bank,HK,,HSI,Banks
Bank of China,HK,,HSI,Banks
CLP Holdings,HK,,HSI,Utilities
Hong Kong and China Gas,HK,,HSI,Utilities
Power Assets Holdings,HK,,HSI,Utilities
China Resources Power,HK,,HSI,Utilities
Cheung Kong Infrastructure Holdings,HK,,HSI,Utilities
ENN Energy,HK,,HSI,Utilities
Henderson Land Development,HK,,HSI,Real Estate
Sun Hung Kai Properties,HK,,HSI,Real Estate
Hang Lung Properties,HK,,HSI,Real Estate
China Overseas Land & Investment,HK,,HSI,Real Estate
Link REIT,HK,,HSI,Real Estate
Longfor Properties,HK,,HSI,Real Estate
China Resources Land,HK,,HSI,Real Estate
CK Asset Holdings,HK,,HSI,Real Estate
China Resources Mixc Lifestyle,HK,,HSI,Real Estate
Wharf Real Estate Investment,HK,,HSI,Real Estate
CK Hutchison Holdings,HK,,HSI,Conglomerate
Galaxy Entertainment Group,HK,,HSI,Gaming
MTR Corporation,HK,,HSI,Transport
Geely Auto,HK,,HSI,Automotive
Alibaba Health,HK,,HSI,Healthcare
CITIC Limited,HK,,HSI,Conglomerate
BYD Electronics,HK,,HSI,Electronics
WH Group,HK,,HSI,Food
China Resources Beer,HK,,HSI,Beverages
Midea Group,HK,,HSI,Consumer Electronics
Orient Overseas (International),HK,,HSI,Shipping
Tingyi,HK,,HSI,Food
Sinopec Corp,HK,,HSI,Energy
Techtronic Industries,HK,,HSI,Industrials
Tencent Holdings,HK,,HSI,Technology
China Unicom,HK,,HSI,Telecom
PetroChina,HK,,HSI,Energy
Xinyi Glass,HK,,HSI,Materials
Zhongsheng Group,HK,,HSI,Auto Retail
CNOOC,HK,,HSI,Energy
China Mobile,HK,,HSI,Telecom
Xinyi Solar,HK,,HSI,Renewable Energy
Semiconductor Manufacturing International,HK,,HSI,Semiconductors
Lenovo,HK,,HSI,Technology
Kuaishou,HK,,HSI,Technology
Hengan International,HK,,HSI,Consumer Goods
China Shenhua Energy,HK,,HSI,Energy
CSPC Pharmaceutical Group,HK,,HSI,Pharma
Sinopharm Group,HK,,HSI,Pharma
Sino Biopharmaceutical,HK,,HSI,Pharma
BYD Company,HK,,HSI,Automotive
China Hongqiao Group,HK,,HSI,Materials
Xiaomi,HK,,HSI,Technology
Budweiser Brewing Company APAC,HK,,HSI,Beverages
Sands China,HK,,HSI,Gaming
Chow Tai Fook Jewellery,HK,,HSI,Retail
Li Auto,HK,,HSI,Automotive
Anta Sports,HK,,HSI,Apparel
ZTO Express,HK,,HSI,Logistics
WuXi Biologics,HK,,HSI,Pharma
Shenzhou International,HK,,HSI,Apparel
Mengniu Dairy,HK,,HSI,Food
Li-Ning,HK,,HSI,Apparel
WuXi AppTec,HK,,HSI,Pharma
Sunny Optical Technology,HK,,HSI,Electronics
JD Logistics,HK,,HSI,Logistics
Zijin Mining,HK,,HSI,Mining
Meituan,HK,,HSI,Technology
Hansoh Pharmaceutical Group,HK,,HSI,Pharma
JD Health,HK,,HSI,Healthcare
Haier Smart Home,HK,,HSI,Consumer Electronics
Haidilao,HK,,HSI,Restaurants
JD.com,HK,,HSI,E-commerce
Nongfu Spring,HK,,HSI,Beverages
Baidu,HK,,HSI,Technology
Trip.com Group,HK,,HSI,Travel
Alibaba Group,HK,,HSI,E-commerce
Pop Mart,HK,,HSI,Retail
NetEase,HK,,HSI,Technology
Taiwan Semiconductor Manufacturing,TW,,TWSE50,Semiconductors
MediaTek,TW,,TWSE50,Semiconductors
Delta Electronics,TW,,TWSE50,Electronics
Hon Hai Precision,TW,,TWSE50,Electronics
ASE Technology Holding,TW,,TWSE50,Semiconductors
United Microelectronics,TW,,TWSE50,Semiconductors
Elite Material,TW,,TWSE50,Electronics
Unimicron Technology,TW,,TWSE50,Electronics
CTBC Financial Holding,TW,,TWSE50,Banks
Accton Technology,TW,,TWSE50,Networking
Yageo,TW,,TWSE50,Electronics
Fubon Financial Holding,TW,,TWSE50,Financials
Nan Ya Plastics,TW,,TWSE50,Plastics
Cathay Financial Holding,TW,,TWSE50,Financials
Quanta Computer,TW,,TWSE50,Electronics
Taishin Financial Holding,TW,,TWSE50,Banks
Chroma ATE,TW,,TWSE50,Electronics
Asia Vital Components,TW,,TWSE50,Electronics
Yuanta Financial Holding,TW,,TWSE50,Financials
Mega Financial Holding,TW,,TWSE50,Banks
Wiwynn,TW,,TWSE50,Electronics
E.Sun Financial Holding,TW,,TWSE50,Banks
Chunghwa Telecom,TW,,TWSE50,Telecom
Winbond Electronics,TW,,TWSE50,Semiconductors
SinoPac Financial Holdings,TW,,TWSE50,Banks
ASUSTeK Computer,TW,,TWSE50,Electronics
Nanya Technology,TW,,TWSE50,Semiconductors
Wistron,TW,,TWSE50,Electronics
KGI Financial Holding,TW,,TWSE50,Financials
King Slide Works,TW,,TWSE50,Industrials
Lite-On Technology,TW,,TWSE50,Electronics
Zhen Ding Technology,TW,,TWSE50,Electronics
First Financial Holding,TW,,TWSE50,Banks
Largan Precision,TW,,TWSE50,Optics
Hua Nan Financial Holdings,TW,,TWSE50,Banks
Uni-President Enterprises,TW,,TWSE50,Food
BizLink Holding,TW,,TWSE50,Electronics
Hon Precision,TW,,TWSE50,Semiconductors
Global Unichip,TW,,TWSE50,Semiconductors
Gold Circuit Electronics,TW,,TWSE50,Electronics
King Yuan Electronics,TW,,TWSE50,Semiconductors
Jentech Precision,TW,,TWSE50,Industrials
Alchip Technologies,TW,,TWSE50,Semiconductors
Nan Ya Printed Circuit Board,TW,,TWSE50,Electronics
Taiwan Cooperative Financial Holding,TW,,TWSE50,Banks
Advantech,TW,,TWSE50,Electronics
Evergreen Marine,TW,,TWSE50,Shipping
Far EasTone Telecommunications,TW,,TWSE50,Telecom
Taiwan Mobile,TW,,TWSE50,Telecom
Formosa Petrochemical,TW,,TWSE50,Energy
